State,District,Avg_rainfall
Andaman & Nicobar,Nicobars,0.0
Andaman & Nicobar,North And Middle Andaman,0.0
Andaman & Nicobar,South Andamans,0.0
Andhra Pradesh,Anantapur,776.5634813
Andhra Pradesh,Chittoor,1074.608876
Andhra Pradesh,East Godavari,1371.896507
Andhra Pradesh,Guntur,1059.643797
Andhra Pradesh,Krishna,1119.304494
Andhra Pradesh,Kurnool,788.291804
Andhra Pradesh,Prakasam,912.5664659
Andhra Pradesh,SPSR Nellore,968.9065473
Andhra Pradesh,Srikakulam,856.0004471
Andhra Pradesh,Visakhapatanam,1298.29041
Andhra Pradesh,Vizianagaram,1292.150062
Andhra Pradesh,West Godavari,1443.920016
Andhra Pradesh,Y.S.R.,821.7839757
Arunachal Pradesh,Anjaw,580.6344627
Arunachal Pradesh,Changlang,1426.234211
Arunachal Pradesh,Dibang Valley,1787.67689
Arunachal Pradesh,East Kameng,1784.389805
Arunachal Pradesh,East Siang,1948.264466
Arunachal Pradesh,Kamle,2334.847677
Arunachal Pradesh,Kra Daadi,2384.557533
Arunachal Pradesh,Kurung Kumey,1827.31192
Arunachal Pradesh,Leparada,2083.687189
Arunachal Pradesh,Lohit,2160.025881
Arunachal Pradesh,Longding,1717.562187
Arunachal Pradesh,Lower Dibang Valley,2160.312889
Arunachal Pradesh,Lower Siang,2076.898998
Arunachal Pradesh,Lower Subansiri,2191.037921
Arunachal Pradesh,Namsai,2143.660327
Arunachal Pradesh,Pakke Kessang,1890.848831
Arunachal Pradesh,Papum Pare,2097.833255
Arunachal Pradesh,Shi Yomi,1529.313606
Arunachal Pradesh,Siang,1793.250314
Arunachal Pradesh,Tawang,700.7063152
Arunachal Pradesh,Tirap,1784.049446
Arunachal Pradesh,Upper Siang,1840.998141
Arunachal Pradesh,Upper Subansiri,1648.499309
Arunachal Pradesh,West Kameng,1537.976573
Arunachal Pradesh,West Siang,1821.371634
Assam,Baksa,1401.325645
Assam,Barpeta,1760.768557
Assam,Biswanath,1115.814484
Assam,Bongaigaon,1437.768651
Assam,Cachar,2298.517056
Assam,Charaideo,1531.628598
Assam,Chirang,1530.979731
Assam,Darrang,1175.291268
Assam,Dhemaji,2008.929411
Assam,Dhubri,2076.82353
Assam,Dibrugarh,1775.940231
Assam,Dima Hasao,1212.057936
Assam,Goalpara,1920.163636
Assam,Golaghat,1048.11237
Assam,Hailakandi,2673.903362
Assam,Hojai,1298.760795
Assam,Jorhat,1237.845842
Assam,Kamrup,1474.97127
Assam,Kamrup Metro,1447.51625
Assam,Karbi Anglong,927.0166803
Assam,Karimganj,2602.280177
Assam,Kokrajhar,2369.522807
Assam,Lakhimpur,1826.359163
Assam,Majuli,1642.485977
Assam,Marigaon,1473.926087
Assam,Nagaon,1246.149926
Assam,Nalbari,1657.934553
Assam,Sivasagar,1320.47495
Assam,Sonitpur,1300.265378
Assam,South Salmara Mancachar,1566.918495
Assam,Tinsukia,1557.165825
Assam,Udalguri,1189.583293
Assam,West Karbi Anglong,1471.708163
Bihar,Araria,1017.849954
Bihar,Arwal,701.627637
Bihar,Aurangabad,743.7045898
Bihar,Banka,817.5107103
Bihar,Begusarai,617.4410902
Bihar,Bhagalpur,727.7570322
Bihar,Bhojpur,604.725226
Bihar,Buxar,724.0837325
Bihar,Darbhanga,529.6649705
Bihar,Gaya,718.0456275
Bihar,Gopalganj,668.9157855
